#Citas UN Andes Udea Univalle UIS
128000 0 0 0 0 0 
64000 0 1 0 0 0
32000 0 1 0 0 1
16000 1 1 0 0 1
8000 1 2 1 0 2 
4000 5 5 2 1 2
2000 14 15 9 5 5 
1000 41 30 25 11 5
500 89 72 51 30 17
