#Citas UN Andes Udea Javeriana Univalle UIS
128000 0 1 0 0 0 0 
64000 0 1 0 0 0 0
32000 1 1 0 0 0 1
16000 1 1 0 0 0 1
8000 2 2 1 1 0 2 
4000 9 5 3 1 1 2
2000 22 18 11 7 5 5 
1000 55 42 33 16 11 12
500 126 92 75 39 30 25
1   772 558 440 320 280 141
-1 72 84 67 57 36 98 # media de las citaciones
